id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & BeyoncÃ©),75,259550,0,"['Ed Sheeran', 'BeyoncÃ©']","['6eUKZXaKkcviH0Ku9w2n3V', '6vWDO969PvNqNYHIOW5v0m']",11/30/2017,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,3
75pQqzwgCjUOSSy5CpmAjy,Pero Ya No,75,160638,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2/28/2020,0.882,0.612,4,-6.103,1,0.118,0.0475,5.07E-06,0.182,0.742,147.982,4
33KJ2xFYONOlIYDBg6wPx8,Personal,75,198040,0,['HRVY'],['28y6CyJNkGNjJQKrlx4AmN'],11/30/2017,0.755,0.536,8,-5.605,1,0.12,0.114,0,0.0282,0.882,138.969,4
3f9Mzvd3URfbbIJBX4pz9Z,Phone Numbers,75,146827,1,"['Dominic Fike', 'Kenny Beats']","['6USv9qhCn6zfxlBQIYJ9qs', '1rHOtdmGNr5vcYNw5v7QGC']",7/4/2019,0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
2vpVR1L7Qfkd7D6qFNuorq,Pierre,75,202733,0,['Ryn Weaver'],['2MuFzH1J5I6gGFYo2qhZmX'],8/28/2015,0.607,0.827,9,-4.282,1,0.0484,0.289,2.95E-06,0.719,0.552,100.062,4
31c1V9xUONZYk78NE4Id8D,Pierre,75,202747,0,['Ryn Weaver'],['2MuFzH1J5I6gGFYo2qhZmX'],6/2/2015,0.607,0.827,9,-4.282,1,0.0484,0.289,2.95E-06,0.718,0.552,100.062,4
2OEVXCvrzJfpZaIPwsR99i,Pistola,75,157370,1,"['L-Gante', 'El Mas Ladron', 'DT.Bilardo']","['4YYxffPVDFe9XoqqbRW6Bq', '1M1s4ofh9rBEBWhyYsXAcn', '5kfMU816qY0ujqEt3xIHqR']",11/6/2020,0.789,0.596,10,-7.517,0,0.284,0.227,0,0.105,0.921,80.819,4
7qmvLmX9tyaTiBAVNI6YEn,PLAYING WITH FIRE,75,197289,0,['BLACKPINK'],['41MozSoPIsD1dJM0CLPjZF'],11/1/2016,0.706,0.756,4,-4.405,0,0.0845,0.0392,0,0.18,0.676,97.098,4
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,75,210580,0,['Joel Adams'],['36jaGQtMj5UWD0eO1fCVdD'],11/6/2015,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94E-05,0.294,0.235,84.264,4
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,75,175230,1,['Rich The Kid'],['1pPmIToKXyGdsCF6LmqLmI'],3/30/2018,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,4
5R8dQOPq8haW94K7mgERlO,Poker Face,75,237200,0,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],1/1/2008,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64E-06,0.121,0.787,118.999,4
6fNhZRFEkBfgW39W3wKARJ,Pompeii,75,214148,0,['Bastille'],['7EQ0qTo7fWT7DPxmxtSYEc'],1/1/2013,0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
4Ub8UsjWuewQrPhuepfVpd,Pompeii,75,214148,0,['Bastille'],['7EQ0qTo7fWT7DPxmxtSYEc'],1/1/2013,0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
5sbooPcNgIE22DwO0VNGUJ,POP/STARS,75,191100,0,"['K/DA', 'Madison Beer', '(G)I-DLE', 'Jaira Burns', 'League of Legends']","['4gOc8TsQed9eqnqJct2c5v', '2kRfqPViCqYdSGhYSM9R0Q', '2AfmfGFbe0A0WsTYm0SDTx', '0tRFWXqKBBQcu5oFVOgVzX', '47mIJdHORyRerp4os813jD']",11/3/2018,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,4
3mV5TTtHnXUeOzRkyFKsVl,Por Mi No Te Detengas,75,225213,0,['Banda MS de Sergio LizÃ¡rraga'],['2C6i0I5RiGzDKN9IAF8reh'],9/14/2018,0.649,0.307,5,-7.209,1,0.0756,0.575,0,0.0705,0.713,74.833,4
1jzIJcHCXneHw7ojC6LXiF,Potato Salad,75,182493,1,"['Tyler, The Creator', 'A$AP Rocky']","['4V8LLVI7PbaPR0K2TGSxFF', '13ubrt8QOOCPljQ2FL1Kca']",9/28/2018,0.538,0.612,2,-6.02,1,0.424,0.308,0,0.213,0.684,168.197,4
0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,75,267307,0,['Def Leppard'],['6H1RjVyNruCmrBEWRbD0VZ'],8/3/1987,0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,4
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),75,241160,1,"['J. Cole', 'Miguel']","['6l3HvQ5sa6mXTsMTB19rO5', '360IAlyVv4PCEVjgyMZrxK']",6/18/2013,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,4
0jdny0dhgjUwoIp5GkqEaA,Praying,75,230267,0,['Kesha'],['6LqNN22kT3074XbTVUrhzX'],8/11/2017,0.543,0.39,10,-7.202,1,0.0322,0.489,0,0.111,0.303,73.415,4
5iSEsR6NKjlC9SrIJkyL3k,Pursuit Of Happiness (Nightmare),75,295293,1,"['Kid Cudi', 'MGMT', 'Ratatat']","['0fA0VVWsXO9YnASrzqfmYu', '0SwO7SWeDHJijQ3XNS7xEE', '57dN52uHvrHOxijzpIgu3E']",9/15/2009,0.63,0.605,0,-8.951,1,0.0414,0.484,9.29E-05,0.298,0.266,115.277,4
5EzL7hGT9g2Tvqsy158Lu9,Pussy Talk,75,218333,1,"['City Girls', 'Doja Cat']","['37hAfseJWi0G3Scife12Il', '5cj0lLjcoR7YOSnhnX0Po5']",6/20/2020,0.943,0.641,1,-5.598,1,0.191,0.0016,0,0.211,0.242,99.099,4
7HBW6yX8iRf81nn6NVOzHL,Putus Atau Terus,75,248824,0,['Judika'],['5fS7aONqrIhiw6YzgKVOsd'],9/14/2020,0.689,0.194,9,-7.188,1,0.0369,0.827,0,0.111,0.387,135.582,5
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),75,227833,0,"['Clean Bandit', 'Jess Glynne']","['6MDME20pz9RveH9rEXvrOM', '4ScCswdRlyA23odg9thgIO']",1/17/2014,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03E-06,0.193,0.549,120.97,4
